Isolate_Id,Isolate_Name,Subtype,Lineage,Clade,Host,Passage_History,Location,Collection_Date,Submission_Date,H_Subtype,N_Subtype,Collection_Year,4_HA_ID,New_Host,Prediction
EPI_ISL_19604281,A/raven/California/23-003756-001/2023,H5N1,,2.3.4.4b,Avian,Original,North America / United States / California,2023-01-29,2024-12-04,5,1,2023,EPI3690329,raven,Avian
EPI_ISL_19604258,A/raven/Colorado/23-003562-001/2023,H5N1,,2.3.4.4b,Avian,Original,North America / United States / Colorado,2023-01-27,2024-12-04,5,1,2023,EPI3690145,raven,Avian
EPI_ISL_19604257,A/raven/Colorado/23-003563-001/2023,H5N1,,2.3.4.4b,Avian,Original,North America / United States / Colorado,2023-01-25,2024-12-04,5,1,2023,EPI3690137,raven,Avian
EPI_ISL_19604256,A/raven/Montana/23-003666-002/2023,H5N1,,2.3.4.4b,Avian,Original,North America / United States / Montana,2023-01-30,2024-12-04,5,1,2023,EPI3690129,raven,Avian
EPI_ISL_19604243,A/raven/Montana/23-003666-004/2023,H5N1,,2.3.4.4b,Avian,Original,North America / United States / Montana,2023-01-30,2024-12-04,5,1,2023,EPI3690025,raven,Avian
EPI_ISL_19604242,A/red shouldered hawk/Kentucky/23-006092-002/2023,H5N1,,2.3.4.4b,Avian,Original,North America / United States / Kentucky,2023-12-22,2024-12-04,5,1,2023,EPI3690017,red_shouldered_hawk,Avian
EPI_ISL_19604238,A/red necked phalarope/Oregon/23-000773-001/2023,H5N1,,2.3.4.4b,Avian,Original,North America / United States / Oregon,2023-01-04,2024-12-04,5,1,2023,EPI3689985,red_necked_phalarope,Avian
EPI_ISL_19325240,A/chicken/California/24-000134-001-original/2023,H5N1,,2.3.4.4b,Avian,original,North America / United States / California / Merced County,2023-12-29,2024-08-10,5,1,2023,EPI3494084,chicken,Avian
EPI_ISL_19325238,A/chicken/California/24-000127-001-original/2023,H5N1,,2.3.4.4b,Avian,original,North America / United States / California / Merced County,2023-12-25,2024-08-10,5,1,2023,EPI3494068,chicken,Avian
EPI_ISL_19325237,A/pheasant/South Dakota/23-041194-002-original/2023,H5N1,,2.3.4.4b,Avian,original,North America / United States / South Dakota / Edmunds County,2023-12-29,2024-08-10,5,1,2023,EPI3494060,pheasant,Avian
EPI_ISL_19325235,A/guinea fowl/Texas/23-041128-001-original/2023,H5N1,,2.3.4.4b,Avian,original,North America / United States / Texas / Carson County,2023-12-08,2024-08-10,5,1,2023,EPI3494044,guinea_fowl,Avian
EPI_ISL_19325234,A/guinea fowl/North Dakota/23-041125-002-original/2023,H5N1,,2.3.4.4b,Avian,original,North America / United States / North Dakota / McIntosh County,2023-12-27,2024-08-10,5,1,2023,EPI3494036,guinea_fowl,Avian
EPI_ISL_19325232,A/chicken/Missouri/23-041003-001-original/2023,H5N1,,2.3.4.4b,Avian,original,North America / United States / Missouri / Audrain County,2023-12-22,2024-08-10,5,1,2023,EPI3494020,chicken,Avian
EPI_ISL_19325231,A/chicken/California/23-040997-002-original/2023,H5N1,,2.3.4.4b,Avian,original,North America / United States / California / Sonoma County,2023-12-22,2024-08-10,5,1,2023,EPI3494012,chicken,Avian
EPI_ISL_19325229,A/green-winged teal/South Carolina/23-037736-010-original/2023,H5N1,,2.3.4.4b,Avian,original,North America / United States / South Carolina,2023-11-25,2024-08-10,5,1,2023,EPI3493996,green_winged_teal,Avian
EPI_ISL_19325228,A/pintail/Wisconsin/23-037645-019-original/2023,H5N1,,2.3.4.4b,Avian,original,North America / United States / Wisconsin,2023-11-18,2024-08-10,5,1,2023,EPI3493988,pintail,Avian
EPI_ISL_19325227,A/black vulture/South Carolina/23-036529-004-original/2023,H5N1,,2.3.4.4b,Avian,original,North America / United States / South Carolina,2023-11-13,2024-08-10,5,1,2023,EPI3493980,black_vulture,Avian
EPI_ISL_19325225,A/black vulture/South Carolina/23-036529-002-original/2023,H5N1,,2.3.4.4b,Avian,original,North America / United States / South Carolina,2023-11-13,2024-08-10,5,1,2023,EPI3493964,black_vulture,Avian
EPI_ISL_19325224,A/black vulture/South Carolina/23-036529-001-original/2023,H5N1,,2.3.4.4b,Avian,original,North America / United States / South Carolina,2023-11-13,2024-08-10,5,1,2023,EPI3493956,black_vulture,Avian
EPI_ISL_19325223,A/American wigeon/Oregon/23-035569-015-original/2023,H5N1,,2.3.4.4b,Avian,original,North America / United States / Oregon,2023-11-04,2024-08-10,5,1,2023,EPI3493948,american_wigeon,Avian
EPI_ISL_19325222,A/mallard/Oregon/23-035569-010-original/2023,H5N1,,2.3.4.4b,Avian,original,North America / United States / Oregon,2023-11-04,2024-08-10,5,1,2023,EPI3493940,mallard,Avian
EPI_ISL_19325221,A/American wigeon/Oregon/23-035568-002-original/2023,H5N1,,2.3.4.4b,Avian,original,North America / United States / Oregon,2023-11-05,2024-08-10,5,1,2023,EPI3493932,american_wigeon,Avian
EPI_ISL_19325220,A/Canada goose/Michigan/23-035045-002-original/2023,H5N1,,2.3.4.4b,Avian,original,North America / United States / Michigan,2023-11-08,2024-08-10,5,1,2023,EPI3493924,canada_goose,Avian
EPI_ISL_19325219,A/green-winged teal/Ohio/23-033311-005-original2/2023,H5N1,,2.3.4.4b,Avian,original,North America / United States / Ohio,2023-10-21,2024-08-10,5,1,2023,EPI3493916,green_winged_teal,Avian
EPI_ISL_19325218,A/pintail/Montana/23-030714-012-original/2023,H5N2,,Am_nonGsGD,Avian,original,North America / United States / Montana,2023-09-30,2024-08-10,5,2,2023,EPI3493908,pintail,Avian
EPI_ISL_19325212,A/green-winged teal/Colorado/23-029854-009-original/2023,H5N2,,Am_nonGsGD,Avian,original,North America / United States / Colorado,2023-09-30,2024-08-10,5,2,2023,EPI3493860,green_winged_teal,Avian
EPI_ISL_19260833,A/chicken/California/23-039772-003-original/2023,H5N1,,2.3.4.4b,Avian,original,North America / United States / California / Sonoma County,2023-12-14,2024-07-14,5,1,2023,EPI3434434,chicken,Avian
EPI_ISL_19260831,A/chicken/Idaho/23-039649-002-original/2023,H5N1,,2.3.4.4b,Avian,original,North America / United States / Idaho / Latah County,2023-12-13,2024-07-14,5,1,2023,EPI3434418,chicken,Avian
EPI_ISL_19260829,A/chicken/Minnesota/23-039634-001-original/2023,H5N1,,2.3.4.4b,Avian,original,North America / United States / Minnesota / Waseca County,2023-12-13,2024-07-14,5,1,2023,EPI3434402,chicken,Avian
EPI_ISL_19260828,A/chicken/Arkansas/23-039417-007-original/2023,H5N1,,2.3.4.4b,Avian,original,North America / United States / Arkansas / Scott County,2023-12-12,2024-07-14,5,1,2023,EPI3434394,chicken,Avian
EPI_ISL_19260826,A/chicken/Oregon/23-039384-001-original/2023,H5N1,,2.3.4.4b,Avian,original,North America / United States / Oregon / Clatsop County,2023-12-12,2024-07-14,5,1,2023,EPI3434378,chicken,Avian
EPI_ISL_19260825,A/mallard/North Dakota/23-034422-010-original/2023,H5N1,,2.3.4.4b,Avian,original,North America / United States / North Dakota,2023-11-02,2024-07-14,5,1,2023,EPI3434370,mallard,Avian
EPI_ISL_19260824,A/mallard/North Dakota/23-034422-007-original/2023,H5N1,,2.3.4.4b,Avian,original,North America / United States / North Dakota,2023-11-02,2024-07-14,5,1,2023,EPI3434362,mallard,Avian
EPI_ISL_19260823,A/mallard/North Dakota/23-034422-006-original/2023,H5N1,,2.3.4.4b,Avian,original,North America / United States / North Dakota,2023-11-02,2024-07-14,5,1,2023,EPI3434354,mallard,Avian
EPI_ISL_19260822,A/mallard/North Dakota/23-034422-001-original/2023,H5N1,,2.3.4.4b,Avian,original,North America / United States / North Dakota,2023-11-02,2024-07-14,5,1,2023,EPI3434346,mallard,Avian
EPI_ISL_19260821,A/mallard/North Dakota/23-034421-008-original/2023,H5N1,,2.3.4.4b,Avian,original,North America / United States / North Dakota,2023-11-02,2024-07-14,5,1,2023,EPI3434338,mallard,Avian
EPI_ISL_19260819,A/mallard/North Dakota/23-034416-008-original/2023,H5N1,,2.3.4.4b,Avian,original,North America / United States / North Dakota,2023-11-02,2024-07-14,5,1,2023,EPI3434322,mallard,Avian
EPI_ISL_19260818,A/mallard/North Dakota/23-034416-003-original/2023,H5N1,,2.3.4.4b,Avian,original,North America / United States / North Dakota,2023-11-02,2024-07-14,5,1,2023,EPI3434314,mallard,Avian
EPI_ISL_19260817,A/mallard/North Dakota/23-034416-001-original/2023,H5N1,,2.3.4.4b,Avian,original,North America / United States / North Dakota,2023-11-02,2024-07-14,5,1,2023,EPI3434306,mallard,Avian
EPI_ISL_19260816,A/mallard/Michigan/23-034361-015-original/2023,H5N1,,2.3.4.4b,Avian,original,North America / United States / Michigan,2023-10-31,2024-07-14,5,1,2023,EPI3434298,mallard,Avian
EPI_ISL_19260815,A/mallard/Michigan/23-034361-012-original/2023,H5N1,,2.3.4.4b,Avian,original,North America / United States / Michigan,2023-10-31,2024-07-14,5,1,2023,EPI3434290,mallard,Avian
EPI_ISL_19260808,A/mallard/New Hampshire/23-028617-021-original/2023,H5N2,,Am_nonGsGD,Avian,original,North America / United States / New Hampshire,2023-09-14,2024-07-14,5,2,2023,EPI3434242,mallard,Avian
EPI_ISL_19260807,A/mallard/Colorado/23-028217-001-original/2023,H5N9,,Am_nonGsGD,Avian,original,North America / United States / Colorado,2023-09-14,2024-07-14,5,9,2023,EPI3434234,mallard,Avian
EPI_ISL_19260805,A/mallard/Pennsylvania/23-028157-017-original/2023,H5N2,,Am_nonGsGD,Avian,original,North America / United States / Pennsylvania,2023-09-12,2024-07-14,5,2,2023,EPI3434218,mallard,Avian
EPI_ISL_19260109,A/Herring_Gull/NL/FAV-0375-3/2023,H5N5,,2.3.4.4b,Avian,egg-1ce2dpi,North America / Canada / Newfoundland and Labrador / Gull Island,2023-06-29,2024-07-12,5,5,2023,EPI3433415,herring_gull,Avian
EPI_ISL_19260108,A/Ring-billed_Gull/NL/FAV-0430-9/2023,H5N5,,2.3.4.4b,Avian,egg-1ce2dpi,North America / Canada / Newfoundland and Labrador / St. John's,2023-10-23,2024-07-12,5,5,2023,EPI3433407,ring_billed_gull,Avian
EPI_ISL_19260107,A/Great_Black-Backed_Gull/NL/FAV-0430-7/2023,H5N5,,2.3.4.4b,Avian,Original,North America / Canada / Newfoundland and Labrador / Atlantic Ocean,2023-09-28,2024-07-12,5,5,2023,EPI3433399,great_black_backed_gull,Avian
EPI_ISL_19260106,A/Herring_Gull/NL/FAV-0430-14/2023,H5N5,,2.3.4.4b,Avian,Original,North America / Canada / Newfoundland and Labrador / St. John's,2023-11-02,2024-07-12,5,5,2023,EPI3433391,herring_gull,Avian
EPI_ISL_19260105,A/Herring_Gull/NL/FAV-0430-13/2023,H5N5,,2.3.4.4b,Avian,Original,North America / Canada / Newfoundland and Labrador / St. John's,2023-11-06,2024-07-12,5,5,2023,EPI3433383,herring_gull,Avian
EPI_ISL_19260104,A/Herring_Gull/NL/FAV-0430-12/2023,H5N5,,2.3.4.4b,Avian,egg-1ce4dpi,North America / Canada / Newfoundland and Labrador / Middle Cove Beach,2023-11-02,2024-07-12,5,5,2023,EPI3433375,herring_gull,Avian
EPI_ISL_19260102,A/Great_Black-Backed_Gull/NL/FAV-0430-10/2023,H5N5,,2.3.4.4b,Avian,egg-1ce4dpi,North America / Canada / Newfoundland and Labrador / Upper Gullies,2023-10-30,2024-07-12,5,5,2023,EPI3433359,great_black_backed_gull,Avian
EPI_ISL_19210891,A/domestic goose/Missouri/23-039017-001-original/2023,H5N1,,2.3.4.4b,Avian,original,North America / United States / Missouri / Saint Louis County,2023-12-07,2024-06-21,5,1,2023,EPI3391916,domestic_goose,Avian
EPI_ISL_19210890,A/turkey/South Dakota/23-038978-001-original/2023,H5N1,,2.3.4.4b,Avian,original,North America / United States / South Dakota / Lake County,2023-12-08,2024-06-21,5,1,2023,EPI3391908,turkey,Avian
EPI_ISL_19210889,A/turkey/Wisconsin/23-038683-002-original/2023,H5N1,,2.3.4.4b,Avian,original,North America / United States / Wisconsin / Barron County,2023-12-06,2024-06-21,5,1,2023,EPI3391900,turkey,Avian
EPI_ISL_19210887,A/turkey/South Dakota/23-038677-002-original/2023,H5N1,,2.3.4.4b,Avian,original,North America / United States / South Dakota / Charles Mix County,2023-12-06,2024-06-21,5,1,2023,EPI3391884,turkey,Avian
EPI_ISL_19210885,A/chicken/Iowa/23-038644-002-original/2023,H5N1,,2.3.4.4b,Avian,original,North America / United States / Iowa / Mills County,2023-12-05,2024-06-21,5,1,2023,EPI3391868,chicken,Avian
EPI_ISL_19210881,A/chicken/Ohio/23-038542-001-original/2023,H5N1,,2.3.4.4b,Avian,original,North America / United States / Ohio / Hardin County,2023-12-05,2024-06-21,5,1,2023,EPI3391836,chicken,Avian
EPI_ISL_19210880,A/green-winged teal/Iowa/23-034037-001-original/2023,H5N1,,2.3.4.4b,Avian,original,North America / United States / Iowa,2023-10-27,2024-06-21,5,1,2023,EPI3391828,green_winged_teal,Avian
EPI_ISL_19210879,A/northern shoveler/Illinois/23-033983-049-original/2023,H5N1,,2.3.4.4b,Avian,original,North America / United States / Illinois,2023-10-28,2024-06-21,5,1,2023,EPI3391820,northern_shoveler,Avian
EPI_ISL_19210878,A/wood duck/Illinois/23-033983-015-original/2023,H5N1,,2.3.4.4b,Avian,original,North America / United States / Illinois,2023-10-28,2024-06-21,5,1,2023,EPI3391812,wood_duck,Avian
EPI_ISL_19210876,A/gadwall/Illinois/23-033982-069-original/2023,H5N1,,2.3.4.4b,Avian,original,North America / United States / Illinois,2023-10-29,2024-06-21,5,1,2023,EPI3391796,gadwall,Avian
EPI_ISL_19210875,A/gadwall/Illinois/23-033982-067-original/2023,H5N1,,2.3.4.4b,Avian,original,North America / United States / Illinois,2023-10-29,2024-06-21,5,1,2023,EPI3391788,gadwall,Avian
EPI_ISL_19210874,A/mallard/Illinois/23-033982-047-original/2023,H5N1,,2.3.4.4b,Avian,original,North America / United States / Illinois,2023-10-29,2024-06-21,5,1,2023,EPI3391780,mallard,Avian
EPI_ISL_19210873,A/green-winged teal/Illinois/23-033982-037-original/2023,H5N1,,2.3.4.4b,Avian,original,North America / United States / Illinois,2023-10-29,2024-06-21,5,1,2023,EPI3391772,green_winged_teal,Avian
EPI_ISL_19210872,A/mallard/Indiana/23-033977-003-original/2023,H5N1,,2.3.4.4b,Avian,original,North America / United States / Indiana,2023-10-28,2024-06-21,5,1,2023,EPI3391764,mallard,Avian
EPI_ISL_19210871,A/American wigeon/South Dakota/23-033792-006-original/2023,H5N1,,2.3.4.4b,Avian,original,North America / United States / South Dakota,2023-10-28,2024-06-21,5,1,2023,EPI3391756,american_wigeon,Avian
EPI_ISL_19210862,A/blue-winged teal/Mississippi/23-028542-002-original/2023,H5N9,,Am_nonGsGD,Avian,original,North America / United States / Mississippi,2023-09-19,2024-06-21,5,9,2023,EPI3391684,blue_winged_teal,Avian
EPI_ISL_19194254,A/turkey/Ohio/23-038540-002/2023,H5N1,,2.3.4.4b,Avian,Original,North America / United States / Ohio / Darke County,2023-12-05,2024-06-13,5,1,2023,EPI3364340,turkey,Avian
EPI_ISL_19194253,A/turkey/Ohio/23-038540-001/2023,H5N1,,2.3.4.4b,Avian,Original,North America / United States / Ohio / Darke County,2023-12-05,2024-06-13,5,1,2023,EPI3364332,turkey,Avian
EPI_ISL_19194252,A/chicken/Vermont/23-038532-002/2023,H5N1,,2.3.4.4b,Avian,Original,North America / United States / Vermont / Orleans County,2023-12-05,2024-06-13,5,1,2023,EPI3364324,chicken,Avian
EPI_ISL_19194251,A/chicken/Vermont/23-038532-001/2023,H5N1,,2.3.4.4b,Avian,Original,North America / United States / Vermont / Orleans County,2023-12-05,2024-06-13,5,1,2023,EPI3364316,chicken,Avian
EPI_ISL_19194250,A/chicken/Michigan/23-038496-001/2023,H5N1,,2.3.4.4b,Avian,Original,North America / United States / Michigan / Montmorency County,2023-12-05,2024-06-13,5,1,2023,EPI3364308,chicken,Avian
EPI_ISL_19194249,A/turkey/Arkansas/23-038491-003/2023,H5N1,,2.3.4.4b,Avian,Original,North America / United States / Arkansas / Madison County,2023-12-05,2024-06-13,5,1,2023,EPI3364300,turkey,Avian
EPI_ISL_19194247,A/turkey/Minnesota/23-038363-001/2023,H5N1,,2.3.4.4b,Avian,Original,North America / United States / Minnesota / Wadena County,2023-12-02,2024-06-13,5,1,2023,EPI3364284,turkey,Avian
EPI_ISL_19194244,A/turkey/Minnesota/23-038354-002/2023,H5N1,,2.3.4.4b,Avian,Original,North America / United States / Minnesota / Todd County,2023-12-04,2024-06-13,5,1,2023,EPI3364260,turkey,Avian
EPI_ISL_19194242,A/pintail/Illinois/23-033982-003/2023,H5N1,,2.3.4.4b,Avian,Original,North America / United States / Illinois,2023-10-24,2024-06-13,5,1,2023,EPI3364244,pintail,Avian
EPI_ISL_19194241,A/green-winged teal/North Dakota/23-033788-007/2023,H5N1,,2.3.4.4b,Avian,Original,North America / United States / North Dakota,2023-10-29,2024-06-13,5,1,2023,EPI3364236,green_winged_teal,Avian
EPI_ISL_19194240,A/American wigeon/Wyoming/23-033721-004/2023,H5N1,,2.3.4.4b,Avian,Original,North America / United States / Wyoming,2023-10-30,2024-06-13,5,1,2023,EPI3364228,american_wigeon,Avian
EPI_ISL_19194239,A/mallard/Washington/23-033638-015/2023,H5N1,,2.3.4.4b,Avian,Original,North America / United States / Washington,2023-10-25,2024-06-13,5,1,2023,EPI3364220,mallard,Avian
